,0,1,2,3,4
f0,0.1963355394622317,0.16216810196139628,0.0922504978425106,0.332501767368272,0.2208570949190433
f1,0.24145021533122585,0.29010314863421355,0.4001188628396739,0.14345610578556556,0.15459120371180543
f10,0.0,0.0,0.0,0.0,0.0
f11,0.0,0.0,0.11979527188829364,0.21161339219840403,0.0
f12,0.0,0.0,0.0,0.0,0.0
f13,0.0,0.0,0.0,0.21161339219840403,0.0
f14,0.0,0.0,0.0,0.0,0.0
f15,0.0,0.0,0.0,0.0,0.0
f16,0.0,0.0,0.0,0.0,0.0
f17,0.13692177467315972,0.0,0.0,0.0,0.0
f18,0.0,0.0,0.0,0.0,0.0
f19,0.13692177467315972,0.157900593549917,0.0,0.0,0.0
f2,0.28837069586022296,0.23192756230455622,0.26804009554122826,0.10081534244935442,0.4852492565161744
f3,0.0,0.0,0.11979527188829364,0.0,0.06965122242648843
f4,0.0,0.0,0.0,0.0,0.0
f5,0.0,0.0,0.0,0.0,0.0
f6,0.0,0.0,0.0,0.0,0.06965122242648843
f7,0.0,0.0,0.0,0.0,0.0
f8,0.0,0.157900593549917,0.0,0.0,0.0
f9,0.0,0.0,0.0,0.0,0.0
