,0,1,2,3
f0,0.2223728752547033,0.12069903004443976,0.24539492585459283,0.15863974441092024
f1,0.21928049724477564,0.18960368891366472,0.1738686726714862,0.18989328150215629
f10,0.07558310690337104,0.11272284933073964,0.0,0.0
f11,0.057219894463833104,0.0,0.0,0.057807769378809166
f12,0.09004814338750915,0.0,0.06912314648774893,0.0
f13,0.0,0.0,0.0,0.0
f14,0.0,0.0,0.0,0.1002813319601334
f15,0.0,0.0,0.06256578918626231,0.057807769378809166
f16,0.0,0.0,0.13168893567401124,0.0
f17,0.0,0.0,0.0,0.1002813319601334
f18,0.0,0.06073276270278843,0.0,0.0
f19,0.057219894463833104,0.08860030599553129,0.0,0.050263991746402205
f2,0.1126443379910946,0.16558544498377673,0.07349729590039737,0.23476078791623387
f3,0.0,0.0,0.0,0.0
f4,0.07558310690337104,0.0,0.0,0.050263991746402205
f5,0.0,0.0,0.0,0.0
f6,0.0,0.0,0.1219306171127506,0.0
f7,0.0,0.06073276270278843,0.0,0.0
f8,0.0,0.08860030599553129,0.1219306171127506,0.0
f9,0.09004814338750915,0.11272284933073964,0.0,0.0
