,0,1,2,3,4
f0,0.10905989621528102,0.12069903004443976,0.19373768646824505,0.216907540859455,0.206994537029015
f1,0.2625537128748657,0.18960368891366472,0.07112758831568945,0.18867565224157704,0.13652722014647384
f10,0.0,0.11272284933073964,0.09529397007149303,0.0,0.0
f11,0.0,0.0,0.0802575771722577,0.10918161044405093,0.0
f12,0.09757542961140996,0.0,0.0,0.0,0.0
f13,0.09757542961140996,0.0,0.0,0.25442816442649024,0.0
f14,0.0,0.0,0.0,0.029403218491666466,0.0
f15,0.0,0.0,0.0,0.0,0.1452628113501392
f16,0.0,0.0,0.0,0.0,0.0
f17,0.10515455252432178,0.0,0.06197006531691664,0.0,0.0
f18,0.07739392326960058,0.06073276270278843,0.0,0.0,0.0
f19,0.10515455252432178,0.08860030599553129,0.06197006531691664,0.11584333549077283,0.0
f2,0.0681385800991885,0.16558544498377673,0.2600915000947307,0.08556047804598758,0.178575457171838
f3,0.0,0.0,0.0802575771722577,0.0,0.09368858147619741
f4,0.0,0.0,0.09529397007149303,0.0,0.045427120298503855
f5,0.0,0.0,0.0,0.0,0.0
f6,0.0,0.0,0.0,0.0,0.09368858147619741
f7,0.0,0.06073276270278843,0.0,0.0,0.0
f8,0.0,0.08860030599553129,0.0,0.0,0.0
f9,0.07739392326960058,0.11272284933073964,0.0,0.0,0.09983569105163535
