,0,1,2,3
f0,0.1914536423517629,0.16216810196139628,0.2901646903567452,0.270305711409274
f1,0.16274462499804987,0.29010314863421355,0.11622295844150805,0.17252908973782205
f10,0.1976410607590882,0.0,0.0,0.0
f11,0.0,0.0,0.0,0.21827210865244634
f12,0.0,0.0,0.0,0.0
f13,0.0,0.0,0.0,0.0
f14,0.0,0.0,0.0,0.0
f15,0.0,0.0,0.051346486638795756,0.21827210865244634
f16,0.0,0.0,0.051346486638795756,0.0
f17,0.0,0.0,0.0,0.0
f18,0.0,0.0,0.0,0.0
f19,0.0,0.157900593549917,0.0,0.0
f2,0.2505196111320109,0.23192756230455622,0.4909193779241552,0.1206209815480112
f3,0.0,0.0,0.0,0.0
f4,0.1976410607590882,0.0,0.0,0.0
f5,0.0,0.0,0.0,0.0
f6,0.0,0.0,0.0,0.0
f7,0.0,0.0,0.0,0.0
f8,0.0,0.157900593549917,0.0,0.0
f9,0.0,0.0,0.0,0.0
